trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.17906614791149322, 'e': 0.17906614791149322}",20,2,19.414912424966555,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.17728440996987782, 'e': 0.17728440996987782}",25,17,14.162739875993006,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.17552040061699686, 'e': 0.17552040061699686}",20,9,18.74778232923102,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.17377394345044514, 'e': 0.17377394345044514}",20,11,15.514529096815515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.17204486382305054, 'e': 0.17204486382305054}",25,5,35.02831630633278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.17033298882540943, 'e': 0.17033298882540943}",20,6,-18.437731879345545,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.1686381472685955, 'e': 0.1686381472685955}",25,17,17.80161006628319,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1669601696670407, 'e': 0.1669601696670407}",25,15,20.784599761907707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.16529888822158653, 'e': 0.16529888822158653}",25,17,17.571718796329815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.16365413680270405, 'e': 0.16365413680270405}",25,0,-19.038810852461715,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
182,False,"{'a': 0.16202575093388075, 'e': 0.16202575093388075}",20,10,-2.045413006217249,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.16041356777517274, 'e': 0.16041356777517274}",20,10,-26.076308714231452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.15881742610692068, 'e': 0.15881742610692068}",25,11,24.844107823897247,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1572371663136276, 'e': 0.1572371663136276}",25,14,9.35450088912895,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.1556726303679973, 'e': 0.1556726303679973}",20,2,28.795284284640903,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.1541236618151314, 'e': 0.1541236618151314}",30,22,15.338936608073027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.15259010575688386, 'e': 0.15259010575688386}",25,13,-32.02003960213169,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
189,False,"{'a': 0.15107180883637084, 'e': 0.15107180883637084}",20,10,18.146924183915363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.14956861922263504, 'e': 0.14956861922263504}",25,15,-1.0906428795705159,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.14808038659546244, 'e': 0.14808038659546244}",25,9,-18.95033313214971,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.14660696213035015, 'e': 0.14660696213035015}",25,16,-8.13856375736946,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
193,False,"{'a': 0.14514819848362373, 'e': 0.14514819848362373}",30,20,-2.561566053243138,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
194,False,"{'a': 0.14370394977770293, 'e': 0.14370394977770293}",30,20,15.909671495964663,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1422740715865136, 'e': 0.1422740715865136}",20,0,25.625688556455618,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.140858420921045, 'e': 0.140858420921045}",30,11,-31.340710814244453,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
197,False,"{'a': 0.13945685621505094, 'e': 0.13945685621505094}",20,11,20.139173382273043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.13806923731089282, 'e': 0.13806923731089282}",20,16,9.019175374335003,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.13669542544552385, 'e': 0.13669542544552385}",20,12,10.718556449628693,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.1353352832366127, 'e': 0.1353352832366127}",20,10,17.168927170826496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.13398867466880493, 'e': 0.13398867466880493}",30,14,27.783648138024347,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.13265546508012172, 'e': 0.13265546508012172}",30,18,22.254891206455763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.13133552114849303, 'e': 0.13133552114849303}",20,8,11.658013974471725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.1300287108784259, 'e': 0.1300287108784259}",25,11,24.766101098104613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.12873490358780423, 'e': 0.12873490358780423}",35,24,22.66450498595722,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.12745396989482075, 'e': 0.12745396989482075}",25,15,19.494785881165622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.12618578170503877, 'e': 0.12618578170503877}",25,5,24.39768820242419,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.12493021219858241, 'e': 0.12493021219858241}",20,12,-21.90450650663593,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.12368713581745483, 'e': 0.12368713581745483}",20,14,12.596076273968922,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.1224564282529819, 'e': 0.1224564282529819}",25,15,15.60613101734819,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.12123796643338168, 'e': 0.12123796643338168}",25,17,13.932712550541707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.12003162851145673, 'e': 0.12003162851145673}",25,16,18.716285659512355,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.11883729385240965, 'e': 0.11883729385240965}",20,14,11.534234290373515,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.11765484302177918, 'e': 0.11765484302177918}",20,13,1.323542421990333,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.11648415777349697, 'e': 0.11648415777349697}",25,3,-2.986843938275034,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.11532512103806251, 'e': 0.11532512103806251}",20,13,10.998747021436436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.1141776169108365, 'e': 0.1141776169108365}",35,15,23.2752557400411,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.11304153064044985, 'e': 0.11304153064044985}",20,13,14.74206676065361,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.11191674861732888, 'e': 0.11191674861732888}",30,17,23.291904837538414,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
